epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9822,1.47319,3.80171,1.32951,0.00261,0.30397,0.00598,0.00363,1.35439,3.92712,1.25773,2.5e-05,2.5e-05,2.5e-05
2,33.8515,1.44578,3.70489,1.26235,0.00373,0.44169,0.0474,0.03062,1.20402,3.81764,1.15064,6.18813e-05,6.18813e-05,6.18813e-05
3,52.6421,1.23851,3.42427,1.1585,0.00676,0.78938,0.27334,0.18783,1.02698,3.6379,1.02104,9.802e-05,9.802e-05,9.802e-05
4,70.1394,1.12912,3.084,1.06483,0.00856,0.99167,0.43107,0.30139,0.96382,3.46897,0.95348,0.000133416,0.000133416,0.000133416
5,92.4296,1.15182,2.40902,1.08224,0.00868,1,0.52239,0.37568,0.93469,3.32945,0.93164,0.00016807,0.00016807,0.00016807
6,117.247,1.12026,1.99672,1.06881,1,0.29818,0.59594,0.42744,0.94027,3.22033,0.92488,0.000201981,0.000201981,0.000201981
7,136.667,1.17011,1.72272,1.0306,1,0.13499,0.62612,0.4322,0.95056,3.09684,0.9314,0.00023515,0.00023515,0.00023515
8,156.579,1.14184,1.73825,1.1323,1,0.19036,0.62674,0.43227,0.93293,3.04883,0.9336,0.000267576,0.000267576,0.000267576
9,177.849,1.14025,1.4138,1.07468,1,0.20243,0.63055,0.44723,0.90197,3.0633,0.92786,0.00029926,0.00029926,0.00029926
10,197.664,1.15568,1.37947,1.09229,1,0.21058,0.63959,0.45019,0.8849,3.04794,0.92633,0.000330201,0.000330201,0.000330201
11,217.507,1.1611,1.32689,1.03778,1,0.13941,0.66904,0.4493,0.97,3.0788,0.93747,0.0003604,0.0003604,0.0003604
12,239.79,1.0896,1.18818,1.05258,1,0.07992,0.6921,0.4629,0.96356,3.09431,0.94581,0.000389856,0.000389856,0.000389856
13,261.964,1.13701,1.21423,1.10259,0.00954,1,0.79644,0.5569,0.92316,3.0957,0.94071,0.00041857,0.00041857,0.00041857
14,285.615,1.03494,1.26994,1.10274,1,0.26417,0.81792,0.58722,0.92069,3.05872,0.94127,0.000446541,0.000446541,0.000446541
15,308.581,1.03062,1.13632,1.05242,1,0.37705,0.84588,0.59601,0.88923,2.9193,0.94861,0.00047377,0.00047377,0.00047377
16,330.149,1.01953,1.02723,1.05512,1,0.42772,0.90094,0.63348,0.90349,2.84666,0.96625,0.000500256,0.000500256,0.000500256
17,352.992,1.02325,1.03014,1.03956,0.99169,0.45051,0.98602,0.7047,0.94203,2.69027,1.00956,0.000526,0.000526,0.000526
18,375.644,1.09334,1.05851,1.11843,0.99181,0.44179,0.98698,0.73025,0.93056,2.72041,0.99779,0.000551001,0.000551001,0.000551001
19,396.635,0.96642,0.98858,1.02029,1,0.42259,0.96446,0.70745,0.94423,2.78046,0.99982,0.00057526,0.00057526,0.00057526
20,419.235,1.02128,1.01194,1.08546,1,0.42819,0.98985,0.71033,0.96798,2.73742,1.01635,0.000598776,0.000598776,0.000598776
21,441.92,1.06164,1.02455,1.02227,1,0.48554,0.995,0.73556,0.92923,2.58126,1.02184,0.00062155,0.00062155,0.00062155
22,462.727,1.05391,0.96938,1.05517,1,0.68821,0.995,0.75479,0.90375,2.40808,1.03324,0.000643581,0.000643581,0.000643581
23,484.579,1.05614,1.02112,1.06308,1,0.75836,0.99386,0.75738,0.91408,2.35114,1.0459,0.00066487,0.00066487,0.00066487
24,504.428,0.98775,1.03049,1.05535,1,0.72985,0.99187,0.73907,0.93138,2.36549,1.05298,0.000685416,0.000685416,0.000685416
25,523.934,1.02402,0.97981,1.03896,0.97539,0.76776,0.98181,0.73513,0.91686,2.19137,1.05789,0.00070522,0.00070522,0.00070522
26,545.359,1.01414,1.01425,1.02569,0.97378,0.92637,0.98421,0.74439,0.90427,2.01386,1.05803,0.000724281,0.000724281,0.000724281
27,567.254,1.05468,1.10192,1.11881,0.97213,0.90841,0.99,0.74454,0.90026,1.98463,1.0445,0.0007426,0.0007426,0.0007426
28,589.677,1.10085,1.02003,1.12187,0.98549,0.90474,0.98477,0.74407,0.9156,1.92504,1.04413,0.000760176,0.000760176,0.000760176
29,613.384,0.99513,0.97416,1.05674,0.98549,0.90474,0.98477,0.74407,0.9156,1.92504,1.04413,0.00077701,0.00077701,0.00077701
30,637.751,1.02002,0.93771,1.01052,0.99062,0.92293,0.98786,0.7327,0.93627,1.8005,1.05567,0.000793101,0.000793101,0.000793101
31,662.231,0.90525,0.87619,1.01739,0.98114,0.89852,0.99218,0.74595,0.96248,1.7137,1.07791,0.00080845,0.00080845,0.00080845
